Timestamp,Job Title,Institution/Organization Name,Description,Responsibilities,Qualifications,Compensation,Location,URL,To Apply,Institution/Organization Information,Contact Information
4/4/2016 13:15:07,Data Specialist,Queens Library,"The Data Specialist is responsible for database maintenance, batch processes and trouble-shooting activities. Duties include performing record overlays, batch record edits and assisting team to maintain database accuracy. Serve on the team resolving technical issues with the library’s ILS, DAMS and metadata vendors. 

* Maintain a running list of enhancements and bug fixes for these systems.
* Coordinate with ITD staff working to improve the library’s discovery layer.
* Be able to create and enhance MARC, VRA Core and EAD records.
* Coordinate with other staff to stay up-to-date on new developments and best practices in Technical Services. Perform other duties as required.
* Serve on a team preparing for the adoption of Bibframe and other linked data initiatives.
* Generate reports.

The Queens Library is an Equal Opportunity Employer.
Queens Library is a national and international leader in the delivery of public library service. Innovation and leadership are the hall marks of Queens Library. Our mission is to meet the needs of the community by offering lifelong learning opportunities and ensuring there is a positive impact in the community. Queens Library fulfills its goals by embracing innovation and change. With a history of offering pioneering programs that meet the diverse needs of the most diverse county in the US, Queens Library is a place where innovation and leaders are welcomed.   Queens Library is a private non-profit corporation located in Queens, New York and includes 65 service locations with 1,700 employees.
Queens Library is the proud recipient of the following awards: 2009 Library Journal, Library of the Year, 2014 ALA/Information Today, Library of the Future, 2013 ULC Top Innovators, 2013 American-Architect’s Building of the Year (Queens Library at Glen Oaks).",,"Experience
Experience with cataloging and database management preferred.

Skills
Ability to perform independently, be self-motivated, and juggle multiple tasks with a positive attitude. Attention to detail and accuracy. Ability to work well as a team member. Willingness to adapt to new technologies and processes. 
Attention to detail and accuracy. Understanding of Bibframe, the Digital Public Library of America initiative, website development (PHP and other programming languages), and linked data preferred. Fluency in one of the international languages spoken in Queens preferred.

Computer Skills
Familiarity with metadata schemas and crosswalk creation for library and archival materials required. Previous experience with MARC and VRA Core cataloging, Microsoft Office Suite, MARC Edit, oXygen XML Editor, Perl, Virtua ILS and VITAL DAMS preferred. NACO and BIBCO experience and familiarity with XML preferred.

Education Required
ALA accredited MLS/MLIS degree and eligibility for a New York State Public Librarian’s Certificate required.",,"Jamaica, NY", http://bit.ly/225Nn5x,Please email your resume and cover letter to: employment@queenslibrary.org and reference “Data Specialist” in the subject line. Resumes will only be accepted by email.,,
4/4/2016 13:19:19,Data Catalog Coordinator,"NYU, Health Sciences Library","NYU Health Sciences Library seeks applicants for the position of Data Catalog Coordinator to plan and conduct outreach efforts promoting the Library’s Data Catalog (https://datacatalog.med.nyu.edu/) to NYU researchers, create and curate metadata describing appropriate researcher datasets, and assist researchers with submitting their own metadata to the Data Catalog. As part of the Library’s Data Services Team, the Data Catalog Coordinator will collaborate with colleagues on additional tasks and projects as needed.
NYU Langone Medical Center, a world-class, patient-centered, integrated, academic medical center, is one of the nation's premier centers for excellence in clinical care, biomedical research and medical education. The NYU Health Sciences Library supports the mission and vision of the NYU Langone Medical Center and related health sciences communities, and is at the forefront of research data management in health sciences libraries.","• Planning, conducting, and documenting outreach initiatives to researchers.
• Creating, curating, and maintaining accurate metadata for datasets.
• Assisting researchers with submitting metadata for datasets.
• Refining and entering metadata for datasets.
• Directing researchers to platforms or repositories for data storage.
• Other duties within the Data Services Team and the Library as assigned.
• Serve on library committees and task forces as appropriate.","Required qualifications
• Bachelor's degree.
• Exposure to the research process.
• Strong understanding of metadata.
• Comfortable meeting with researchers independently.
• Documented ability to plan, organize, and implement outreach activities in an academic or other relevant setting.
• Documented ability to work independently and in teams.
• Excellent verbal and written communication skills.
• Excellent attention to detail.
• Excellent organizational skills.

Preferred qualifications
• MLS or similar graduate degree.
• An undergraduate or graduate-level science or public health background.
• Awareness of data storage and data sharing options for biomedical researchers.",,"New York, NY",https://hsl.med.nyu.edu/content/data-catalog-coordinator,Please visit http://careers.nyumc.org/jobs/descriptions/project-coordinator-new-york-new-york-job-6287475,,
4/4/2016 13:30:13,Library Assistant IV,"NYU, Health Sciences Library","NYU Health Sciences Library seeks applicants for the position of Library Assistant IV to provide expert customer service both electronically and in-person from the newly renovated NYU Health Sciences Library facility, scheduled to open in spring 2016. The Library Assistant IV will assist other library staff in processing Interlibrary Loan requests from library users and outside libraries. The position calls for a commitment to customer service; providing a first-rate user experience in finding and using the library’s resources.
The NYU Health Sciences Library is a digital library supporting the diverse and sophisticated needs of a comprehensive academic medical center. The new library facility is designed to support students, faculty, and staff in finding and using the best source material for independent study and small group collaboration. The library includes a technology-enabled teaching/learning space that supports team-based learning, and a technology demonstration and exploration center. Communication via email, instant message, telephone, and in-person will be integral in how the Library Assistant IV supports users in this new environment.","• Staff the library’s service desk and provide excellent customer support via email, instant message, and telephone
• Process lending and borrowing requests
• Assist library patrons in using technology available in the library facility
• Conduct online searches for citation and bibliographic data
• Maintain shipping and delivery of materials to and from lending libraries
• Assist library patrons in finding and accessing library resources online
• Refer requests for a variety of services through appropriate channels within the library
• Perform other duties as assigned
• Serve on library committees and task forces as appropriate","Required qualifications
• Associate’s degree
• 1-2 years of customer service experience
• Excellent verbal and written communication skills
• Strong attention to detail
• Ability to work independently and in teams to produce outstanding results
• Proficient in Windows and Mac OS, mobile technology (tablets, e-readers), and Microsoft Office

Preferred qualifications
• Experience providing customer service in a library setting
• Experience working with ILLiad software, customer-relationship management (e.g., ticketing) software, Aleph, and other library systems
• Experience using health sciences related resources, such as PubMed; and citation-management applications such as EndNote, RefWorks, and Mendeley",,"New York, NY", https://hsl.med.nyu.edu/content/library-assistant-iv,"Please visit 
https://hsl.med.nyu.edu/content/library-assistant-iv.",,
4/4/2016 13:31:39,Part-Time Digital Archivist,Queens Library,"The Part-Time Digital Archivist is responsible for processing the library’s digital archives collections.  The Part-Time Digital Archivist will train staff, volunteers and interns on digital archives projects and conduct quality control reviews on completed records.  This position will also contribute to the curation of digital archives websites and social media by identifying candidate records for posts and online exhibits.  Performs other duties as required.

Flexible schedule with a maximum of 17 hours per week. Part-time positions do not offer any medical or health benefits.

Queens Library is a national and international leader in the delivery of public library service.  Innovation and leadership are the hall marks of Queens Library.  Our mission is to meet the needs of the community by offering lifelong learning opportunities and ensuring there is a positive impact in the community.  Queens Library fulfills its goals by embracing innovation and change.  With a history of offering pioneering programs that meet the diverse needs of the most diverse county in the US, Queens Library is a place where innovation and leaders are welcomed.  Queens Library a private, non-profit corporation located in Queens, New York and includes 65 service locations with 1,700 employees.

Queens Library is the proud recipient of the following awards: 2009 Library Journal, Library of the Year, 2014 ALA/Information Today, Library of the Future, 2013 ULC Top Innovators, 2013 American-Architect’s Building of the Year (Queens Library at Glen Oaks).",,"Experience
Experience with archival processing, digital asset management systems, and digital preservation required.

Skills
Able to perform independently, be self-motivated and manage multiple tasks with a positive attitude. Attention to detail and accuracy. Ability to work well as a team member. Willingness to adapt to new technologies and processes. Knowledge of the Digital Public Library of America initiative, web archiving, and linked data, preferred. Fluency in a second language spoken in Queens is preferred.

Computer Skills
This position will ensure the full archival processing for all digital archives collections, including the creation of collection level EAD records. Create and edit VRA Core and MARC records for archival materials (maps, photographs, oral histories, manuscripts, musical scores, etc.).

Education Required
ALA accredited MLS/MLIS degree required with either an Archives certification or professional archival experience.",,,,Please send your resume and cover letter to natalie.milbrodt@queenslibrary.org and reference “PART-TIME DIGITAL ARCHIVIST - HOURLY” in the subject line. Resumes will only be accepted by email.,,
4/4/2016 13:34:35,Technical Services Librarian,St. Francis College,"Schedule: The normal work schedule for this position is seven hours a day, thirty-five hours a week, Monday through Friday from 9 a.m. to 5 p.m. including occasional evening hours. Flexibility in work hours is required to accommodate the Library’s needs and changes in Library hours during intersessions and summer sessions.
 
Job Summary: The Technical Services Librarian is responsible for the Technical Services and Cataloging operations of the Library.  This includes the supervision of one part-time clerk and several part-time student workers.","* Responsible for all operations related to the cataloging, processing and withdrawing of materials acquired by the Library in a broad variety of physical and electronic formats.  The position incorporates original as well as copy cataloging.
* Creates and maintains bibliographic, holding and item records for non-book material as required by other departments in the College in order to facilitate circulation of the materials. 
* Consults with acquisitions and periodicals personnel to keep serials listing updated in ILS.
* Responsible for informing the college community of the availability of new titles. When technical processing of material is complete, notifies the individual requesting acquisition of the item that it is available for circulation.
* Supervises the work activities of part-time technical service employees.
* Supervises student assistants in the physical processing of acquired materials, coordinates the steps necessary to prepare all Library materials for shelving.
* Supervises student workers when the Assistant Director of the Library is not present.
* Consults with Interlibrary Loan Clerk to improve ILL services by updating Library’s OCLC holding records related to our collection.
* Selects material in need of preservation, binding and repair.
* Active research and publication accomplishments are encouraged.
* Fulfills other duties as assigned by the Director of Library Services.

Other Responsibilities:
* Along with the digital services librarian is responsible for the maintenance of the integrated library system software used by the Library.  This includes troubleshooting, periodic reedits and updates to the system, the creation of all library system user IDs and passwords and the printing of standard reports. 
* As one of the professional librarians on staff, the person in this position is responsible for Reference Desk service for a minimum of 5 hours per week and is on call to fill in at the Reference Desk when necessary.  Must maintain a familiarity with the various resources of the Library, including print resources, electronic databases and serials.
* Serve as a faculty liaison librarian, responsible for collection development in several academic subject areas. This responsibility includes meeting with faculty to review the holdings in the collection and providing assistance in the ordering and weeding of material in those areas.
* Conducts library instruction sessions for classes at the request of faculty.  Instructs students in research methods, library resources and citation.","* Master’s degree from an ALA accredited school of library/information science.
* Knowledge of the Library of Congress Classification System, the Dewey Decimal Classification System, RDA and OCLC are critical.
* Excellent supervisory, interpersonal, and communications skills, as well as the ability to work effectively in a collegial environment are essential.
* Working knowledge of ExLibris Voyager and Primo software. ",Commensurate with experience.,,,"Please visit http://www.sfc.edu/jobs.

St. Francis College is an equal opportunity employer.",,
4/6/2016 16:48:55,"Central Library Assistant Manager, Programming & Outreach",Queens Library,"The Central Library Assistant Manager is a member of a cross functional Central Library Management team dedicated to providing customer service across the entire Central Library while assisting the Queens Library Programming/Outreach Manager in employing goals and work plans to manage the daily operations and delivery of Central Library programs & outreach.

* Assists with the direct and indirect supervision, performance management, motivation, development, coaching, and training of all Central Library Librarians, (Customer Service, and other staff). Assists in the management of the Central Library. Recognizes and encourages excellence in staff performance. Addresses employee challenges. Collaborates with Central Library Associate / Assistant Director on staff training and performance management. (Librarians are direct reports to Central Library Assistant Managers and Central Library clerical staff are indirect reports to the Central Library Assistant Manager).
* The Central Library Assistant Manager of Programming/Outreach will ensure and provide quality customer service to internal and external customers in a timely manner and with a positive, proactive, customer-focused attitude using standards and guidelines set by Queens Library for the delivery of customer service. Promotes staff and customer understanding of the wide range of Queens Library programs and services.  
* Continually evaluates programs & outreach by reviewing usage patterns, circulation and community demographics with a focus on increasing circulation & usage. Assists in the identification of materials for acquisition with a focus on developing a collection that meets the needs of the community.
* Co-develops and implements a work-plan to achieve Central Library’s objectives for programs & outreach. Reviews work methods and recommend best practices and procedures that support and improve daily operations with an emphasis on standardizing processes.
* Provides cross-functional support and back-up coverage to other Central and Community Library Services Managers/Assistant Managers and Librarians.
* Regularly supervise and audit the appearance, operation and condition of the library’s public service areas, book stacks and physical space. Ensure proper building maintenance and operating standards are upheld.  Immediately communicate concerns about the physical environment and cooperatively involve Capital & Facilities Management & Central Library Administration to facilitate a resolution of physical environment concerns. 
* Effectively and efficiently assists with managing budgets. Assists in the preparation and maintenance of required reporting using approved formats in a timely manner.
* Leads the creation and recommendation of Central Library-wide programming & outreach standards. Collaborates with Central Library Administration, Central Library Managers/Assistant Managers, Central Library staff & customers to develop a variety of diverse quality programs and outreach activities that fully engage the community and provide an aspirant total experience for the community.
* Develops and maintains relationships with local organizations and schools. Participates in committees and represents the organization as required. Manages the performance of programming/outreach direct reports.
* Performs other duties as assigned.

While performing the duties of this job, the employee is regularly required to walk, talk or hear. The employee is occasionally required to stand; sit; and use hands and to handle or feel. The employee must occasionally lift and/or move up to 25 pounds. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Schedule will include evenings and weekends

Queens Library is a national and international leader in the delivery of public library service. Innovation and leadership are the hall marks of Queens Library. Our mission is to meet the needs of the community by offering lifelong learning opportunities and ensuring there is a positive impact in the community. Queens Library fulfills its goals by embracing innovation and change. With a history of offering pioneering programs that meet the diverse needs of the most diverse county in the US, Queens Library is a place where innovation and leaders are welcomed. Queens Library a private, non-profit corporation located in Queens, New York and includes 65 service locations with 1,700 employees.


Queens Library is the proud recipient of the following awards: 2009 Library Journal, Library of the Year, 2014 ALA/Information Today, Library of the Future, 2013 ULC Top Innovators, 2013 American-Architect’s Building of the Year (Queens Library at Glen Oaks).",,"
* ALA accredited MLS/MLIS degree required.
* A minimum of one year supervisory/managerial experience and two years of post-MLS experience is required. Must have demonstrated exceptional programming and/or outreach experience. 
* Library, museum or similar cultural organizational experience preferred. Budget management experience preferred.  Must be knowledgeable of trends in public library service.
* Demonstrated cross-functional collaboration, influencing and consensus building skills required. Demonstrated ability to synthesize information and maintain organization-wide perspective while delivering and setting individual goals required.
* Must be able to lead, coach and develop staff to optimal performance levels. Must be able to establish and maintain positive cooperative working relationships with all levels of staff.
* Must have exemplary customer service skills (public and internal customers). Must have excellent oral and written communication skills.
",,,,"Send your resume and cover letter to qlcareers@queenslibrary.org and reference “CEL Assistant Manager, Programs & Services - EXTERNAL” in the subject line. Resumes will only be accepted by email. 

The Queens Library is an Equal Opportunity Employer",,
4/6/2016 16:51:07,Assistant Community Library Manager,Queens Library,"If you are ready to work in the World’s Borough, the Queens Library wants you!

The Queens Library is offering opportunities to work for one of the most dynamic and diverse urban libraries in the world. We are seeking highly-engaged, creative, customer service driven candidates who are eager for an opportunity to enrich lives in one of our 65 service locations.

Queens Library is a renowned leader in providing innovative library and educational services, developing new technology applications and fostering community engagement. Recent accolades include:

    2015 Winner ALA/Gale Cengage Learning & Reference Services Award
    2014 ALA/Information Today “Library of the Future” Award
    2013 Library of Congress Literacy Awards “Best Practice”
    2013 Urban Libraries Council “Top Innovator” Award
    2009 Library Journal “Library of the Year” Award
","
* In partnership with the Community Library Manager, has overall responsibility for the leadership of staff, including the timely and objective feedback of performance and fostering the staff development/learning
* Provides exceptional public service to all age levels.
* Direct supervisor of the Customer Service Supervisor and Librarians
* In the absence of the Community Library Manager, manages the library including materials selection, programming, physical maintenance, reports, etc.
* Prepares reports and statistics
* Performs other duties as required.

Schedule will include some Saturdays and evenings.","Key Competencies:
* Leadership, initiative, flexibility, cooperative teamwork and modeling exemplary customer service 

Requirements:
* ALA accredited Master’s degree
* Eligibility for New York State Public Librarian’s Certificate
* A minimum of one year of managerial experience including the management of full-time staff
* Two years of post-MLS experience is required.
* A minimum of one year of librarian experience
* Must have demonstrated knowledge of library policies and procedures.
","Excellent salary and a comprehensive benefits package that includes generous vacation/sick pay, medical, dental, vision, life insurance, defined benefit pension, 403B, deferred compensation, and more. Relocation incentives available. Opportunities to further your education and professional credentials are plentiful.",,,"Email your cover letter and resume to qlcareers@queenslibrary.org and reference “Assistant Community Library Manager – EXTERNAL” in the subject line. Resumes will only be accepted by email. 

Queens Library is an equal opportunity employer.",,
4/6/2016 16:54:38,Senior Librarian (Russian Language Cataloger),New York Public Library,"The Senior Librarian will be responsible for cataloging Russian, English and other language materials for the BookOps member libraries. The Librarian will catalog according to national standards for bibliographic description, classification, name and subject analysis and contribute authority records to national cooperative cataloging programs. ","Reporting to a Supervising Librarian or Librarian III, the Senior Librarian will be responsible for:

* Performing original and copy cataloging of Russian language print and non-print materials
* Cataloging and classifying print and non-print materials in English and other languages
* Creating and maintaining bibliographic data for the BookOps member libraries
* Assigning and maintaining name, subject, and title access points in bibliographic records and performing name and subject authority work at national level
* Processing bibliographic and authority data files from vendors and other sources
* Planning and executing special cataloging assignments
* Assisting in training cataloging staff
* Contributing to the development of cataloging procedures and reports
* Maintaining accurate statistics
* Performing related duties as required
","Skills
* Expert knowledge of Russian required
* Demonstrated knowledge of RDA, AACR2, MARC21, LCSH, LCNAF, Dewey Decimal Classification, LC Classification, and of development and trends in the field of cataloging and metadata required
* Demonstrated experience in library cataloging and classification of both print and non-print materials preferred
* Demonstrated experience or training in PCC and NACO preferred
* Demonstrated experience using OCLC Connexion preferred
* Knowledge of one or more languages other than Russian or English, preferably Slavic, Romance or Germanic

Computer Skills
* Knowledge of an integrated library system, preferably Innovative Millennium or Sierra
* Strong computer and other related technology skills, including MS Word, Excel, PowerPoint and Google applications

Education Required
* ALA-accredited Master’s degree in Library and Information Studies required",,"Long Island City, Queens", https://jobs-nypl.icims.com/jobs/9049/librarian---senior-librarian-%28russian-language-cataloger%29/job,"Please visit 
https://jobs-nypl.icims.com/jobs/9049/librarian---senior-librarian-%28russian-language-cataloger%29/job.",,
4/6/2016 16:59:55,Senior Librarian (Music Cataloger),New York Public Library,"The Senior Librarian will create and update cataloging records for materials in all formats in the areas of music, performing arts and other subjects as needed by the BookOps partners. The Librarian will catalog according to national standards for bibliographic description, classification, name and subject analysis and contribute authority records to national cooperative cataloging programs.","Reporting to a Supervising Librarian or Librarian III, the Senior Librarian:
* Performs original and copy cataloging of music and performing arts materials in print and non-print, including scores, books, sound and video recordings and electronic resources
* Catalogs and classifies print and non-print materials in English and other languages
* Creates and maintains bibliographic data for the BookOps member libraries
* Assigns and maintains name, subject, and title access points in bibliographic records and performs authority work at national level
* Processes bibliographic and authority data files from vendors and other sources
* Plans and executes special cataloging assignments
* Assists in training cataloging staff
* Contributes to the development of cataloging procedures and reports
* Maintains accurate statistics
* Performs related duties as required
","Skills
* Strong knowledge of music history, theory, notation and a wide variety of genres required
* Demonstrated experience in library cataloging and classification of scores, print and non-print music materials required
* Demonstrated knowledge of RDA, AACR2, MARC21, LCSH, LCNAF, Dewey Decimal Classification, LC Classification, MLA Best Practices for Music Cataloging and trends in the field of cataloging and metadata required
* Demonstrated experience or training in PCC and NACO preferred
* Demonstrated experience using OCLC Connexion preferred
* Knowledge of one or more languages other than English, preferably Romance or Germanic

Computer Skills
* Knowledge of an integrated library system, preferably Innovative Millennium or Sierra
* Strong computer and other related technology skills, including MS Word, Excel, PowerPoint and Google applications
* Strong organizational skills and attention to detail

Education Required
* ALA-accredited Master’s degree in Library and Information Studies required
* Bachelor’s or Master’s degree in music required
",,"Long Island City, Queens", https://jobs-nypl.icims.com/jobs/9048/librarian---senior-librarian-%28music-cataloger%29/job,"Please visit 
https://jobs-nypl.icims.com/jobs/9048/librarian---senior-librarian-%28music-cataloger%29/job.",,
4/6/2016 17:04:00,"Administrative Assistant, Youth Services",Nassau Library System,"We are seeking a high-performing, energetic, flexible, organized self-starter who can support and facilitate the efficient operation of the Youth Services Office.","Responsibilities Include:
* Assist the Manager of Youth Services in the administration of the Youth Services office.
* Perform administrative and office support activities such as answer phone calls and emails, create word documents, spreadsheets and flyers.
* Assist with website content, social media, creating and editing department publications.
* Maintain online calendars and organize all aspects of youth services meetings.
* Event planning: bi-annual LitFest, annual Performer’s Showcase and other events.
* Organize and coordinate large mailings and distributions.
* Respond to questions and requests for assistance from member librarians and staff.","Experience
* At least 2 years of experience either in an office environment and/or a public library.
* Knowledge about NLS member libraries and/or literature for young people a plus.

Skills
* Excellent customer service, interpersonal skills, verbal and written communication skills.
* Efficient, productive, attentive to detail and accurate.
* First-rate planning, organizational, time-management and problem-solving skills.
* Computer literate; proficient in MS Office Suite, Publisher, and Google products.
* Knowledge of WordPress a plus.
* Knowledge about NLS member libraries and/or literature for young people a plus.
* Able to lift books and boxes weighing up to 25 pounds.
* At least 2 years of experience either in an office environment and/or a public library.

Computer Skills
* Computer literate; proficient in MS Office Suite, Publisher, and Google products.
* Knowledge of WordPress a plus.
* Knowledge of social media sites; Facebook, Twitter, and Instagram.

Education Required
* Associate’s degree or higher preferred","$46,000 to $48,000","Uniondale, NY",,"Send resume and cover letter to Renee McGrath, Manager of Youth Services, Nassau Library System, via e-mail (renee@nassaulibrary.org) or snail mail to 900 Jerusalem Avenue, Uniondale, NY 11553.

Cover letter should describe how your experience and abilities are specifically related to the requirements and responsibilities of this position."," Nassau Library System | 900 Jerusalem Avenue | Uniondale, New York | 11553 | United States",
